Date,Open,High,Low,Close,Adj Close,Volume
2017-07-22,0.182168,0.195009,0.181447,0.193320,0.193320,83913800
2017-07-23,0.193568,0.204121,0.188722,0.195058,0.195058,195682000
2017-07-24,0.194979,0.195279,0.189835,0.192002,0.192002,56632800
2017-07-25,0.192280,0.192734,0.169797,0.178104,0.178104,166807008
2017-07-26,0.177582,0.180872,0.169060,0.173822,0.173822,76584600
2017-07-27,0.175210,0.176602,0.171980,0.173457,0.173457,34575100
2017-07-28,0.173211,0.174078,0.162183,0.165937,0.165937,74649800
2017-07-29,0.165218,0.171566,0.155475,0.169871,0.169871,80897000
2017-07-30,0.169494,0.170411,0.164094,0.165082,0.165082,40621700
2017-07-31,0.165050,0.169535,0.162002,0.167386,0.167386,57273800
2017-08-01,0.168024,0.178332,0.166124,0.177053,0.177053,119957000
2017-08-02,0.177531,0.179655,0.171618,0.173113,0.173113,53441400
2017-08-03,0.173218,0.175969,0.171730,0.174612,0.174612,31479000
2017-08-04,0.174555,0.176053,0.172224,0.173743,0.173743,45170000
2017-08-05,0.173865,0.187844,0.173267,0.184737,0.184737,114270000
2017-08-06,0.185398,0.189486,0.180298,0.180444,0.180444,74161600
2017-08-07,0.179716,0.181847,0.177605,0.179021,0.179021,58052100
2017-08-08,0.179602,0.194391,0.178487,0.192586,0.192586,180028000
2017-08-09,0.192527,0.192914,0.180629,0.182947,0.182947,97805400
2017-08-10,0.183168,0.183500,0.180013,0.180399,0.180399,48162800
2017-08-11,0.180175,0.182631,0.177627,0.179307,0.179307,54059700
2017-08-12,0.179221,0.182599,0.173242,0.173853,0.173853,65229300
2017-08-13,0.173545,0.174147,0.162625,0.168092,0.168092,110199000
2017-08-14,0.168376,0.180054,0.165289,0.169991,0.169991,84388304
2017-08-15,0.169790,0.169790,0.158244,0.161221,0.161221,100614000
2017-08-16,0.161238,0.161726,0.153087,0.160431,0.160431,107920000
2017-08-17,0.160787,0.161001,0.155909,0.157498,0.157498,56084300
2017-08-18,0.157117,0.168716,0.154162,0.158883,0.158883,146539008
2017-08-19,0.159553,0.162348,0.152305,0.155057,0.155057,87062096
2017-08-20,0.154569,0.161205,0.153432,0.158735,0.158735,68542800
2017-08-21,0.158410,0.205684,0.154856,0.191918,0.191918,447088992
2017-08-22,0.194971,0.254659,0.171483,0.239286,0.239286,1450040064
2017-08-23,0.240987,0.297662,0.219992,0.246827,0.246827,1770400000
2017-08-24,0.252371,0.288783,0.212543,0.218958,0.218958,1342360064
2017-08-25,0.217200,0.232184,0.203022,0.217828,0.217828,504484000
2017-08-26,0.218256,0.229086,0.210324,0.212577,0.212577,184120992
2017-08-27,0.212617,0.212617,0.197717,0.202995,0.202995,193971008
2017-08-28,0.203425,0.236260,0.196610,0.224508,0.224508,542467968
2017-08-29,0.224026,0.225926,0.214867,0.218564,0.218564,269769984
2017-08-30,0.218871,0.229805,0.217476,0.228006,0.228006,181186000
2017-08-31,0.227558,0.261038,0.225907,0.255630,0.255630,432574016
2017-09-01,0.255803,0.256162,0.243833,0.248479,0.248479,283576000
2017-09-02,0.249348,0.249680,0.217774,0.226669,0.226669,329928000
2017-09-03,0.227229,0.236443,0.218662,0.228811,0.228811,186526000
2017-09-04,0.228781,0.228781,0.195960,0.204968,0.204968,239612992
2017-09-05,0.205110,0.218674,0.190232,0.215189,0.215189,242636000
2017-09-06,0.214951,0.226860,0.214805,0.226186,0.226186,163296992
